plastid	84172	110435	128216	154479	-1
mito	258638	265227	49820	56409	-1
mito	49820	56409	258638	265227	-1
mito	194198	198390	1	4193	1
mito	1	4193	194198	198390	1
mito	346208	346715	19682	20189	1
mito	19682	20189	346208	346715	1
mito	321435	321967	41464	41996	-1
mito	41464	41996	321435	321967	-1
mito	257621	257879	134640	134898	1
mito	257923	258028	134964	135069	1
mito	258029	258143	135079	135193	1
mito	134640	134898	257621	257879	1
mito	134964	135069	257923	258028	1
mito	135079	135193	258029	258143	1
mito	143953	144409	36362	36818	-1
mito	36362	36818	143953	144409	-1
mito	84174	84540	6118	6484	-1
mito	6118	6484	84174	84540	-1
mito	332210	332383	269887	270060	1
mito	332410	332616	270087	270293	1
mito	269887	270060	332210	332383	1
mito	270087	270293	332410	332616	1
mito	246766	247115	206095	206444	1
mito	206095	206444	246766	247115	1
mito	271091	271395	30938	31242	-1
mito	30938	31242	271091	271395	-1
mito	332417	332522	31725	31830	-1
mito	31725	31830	332417	332522	-1
mito	270094	270199	31725	31830	-1
mito	31725	31830	270094	270199	-1
mito	254842	255051	30513	30722	-1
mito	30513	30722	254842	255051	-1
mito	331581	331831	23253	23503	-1
mito	23253	23503	331581	331831	-1
mito	270627	270830	234172	234375	-1
mito	234172	234375	270627	270830	-1
mito	331877	332125	270775	271023	1
mito	270775	271023	331877	332125	1
mito	110303	110421	49067	49185	-1
mito	110422	110532	48955	49065	-1
mito	48955	49067	110420	110532	-1
mito	49069	49185	110303	110419	-1
mito	269570	269775	66857	67062	1
mito	66857	67062	269570	269775	1
mito	207329	207437	182729	182837	1
mito	182729	182837	207329	207437	1
mito	306990	307164	288334	288508	1
mito	288334	288508	306990	307164	1
mito	307984	308118	166000	166134	1
mito	166000	166134	307984	308118	1
mito	360869	360985	68724	68840	-1
mito	68724	68840	360869	360985	-1
mito	278533	278640	80253	80360	1
mito	80253	80360	278533	278640	1
mito	247552	247673	49243	49364	-1
mito	49243	49364	247552	247673	-1
mito	265507	265620	51037	51150	-1
mito	265507	265620	263897	264010	1
mito	263897	264010	265507	265620	1
mito	51037	51150	265507	265620	-1
mito	87937	88078	11394	11535	1
mito	11394	11535	87937	88078	1
mito	276497	276619	113664	113786	-1
mito	113664	113786	276497	276619	-1
mito	73611	73731	65547	65667	1
mito	65547	65667	73611	73731	1
